년도,월,항공사(ICAO),항공사(IATA),항공사명,국제_국내,노선,국가,공항,도착_출발,정기_부정기,여객_화물,운항(편),유임승객(명),무임승객(명),환승객(명),직화물(kg),환적화물(kg),우편물(kg),수하물(kg)
2026년,01월,AAR,OZ,아시아나항공,국제,동남아,필리핀,MNL,출발,정기,여객,62 ,9576 ,57 ,7726 ,252372 ,86013 ,0 ,465495 
2026년,01월,AAR,OZ,아시아나항공,국제,미주,미국,JFK,도착,정기,여객,30 ,3888 ,14 ,4313 ,6549 ,3023 ,0 ,250100 
2026년,01월,AAR,OZ,아시아나항공,국제,미주,미국,JFK,출발,정기,여객,30 ,4522 ,5 ,4320 ,107887 ,62560 ,0 ,256879 
2026년,01월,AAR,OZ,아시아나항공,국제,미주,미국,LAS,도착,부정기,여객,4 ,585 ,0 ,0 ,0 ,0 ,0 ,11483 
2026년,01월,AAR,OZ,아시아나항공,국제,미주,미국,LAS,출발,부정기,여객,4 ,921 ,3 ,245 ,0 ,0 ,0 ,21092 
2026년,01월,AAR,OZ,아시아나항공,국제,미주,미국,LAX,도착,정기,여객,46 ,8462 ,33 ,11835 ,63692 ,10788 ,0 ,571387 
2026년,01월,AAR,OZ,아시아나항공,국제,미주,미국,LAX,출발,정기,여객,45 ,9381 ,42 ,11972 ,100461 ,54203 ,0 ,565569 
2026년,01월,AAR,OZ,아시아나항공,국제,미주,미국,SEA,도착,정기,여객,21 ,1682 ,6 ,3488 ,3319 ,88166 ,0 ,140360 
2026년,01월,AAR,OZ,아시아나항공,국제,미주,미국,SEA,출발,정기,여객,22 ,1591 ,8 ,3852 ,16176 ,120171 ,0 ,149857 
2026년,01월,AAR,OZ,아시아나항공,국제,미주,미국,SFO,도착,정기,여객,30 ,3449 ,16 ,4124 ,15960 ,1167 ,0 ,204078 
2026년,01월,AAR,OZ,아시아나항공,국제,미주,미국,SFO,출발,정기,여객,31 ,3380 ,21 ,5239 ,178326 ,57781 ,0 ,222654 
2026년,01월,AAR,OZ,아시아나항공,국제,대양주,호주,MEL,도착,부정기,여객,14 ,3871 ,23 ,157 ,49034 ,195 ,0 ,72410 
2026년,01월,AAR,OZ,아시아나항공,국제,대양주,호주,MEL,출발,부정기,여객,13 ,3822 ,21 ,150 ,17543 ,14455 ,0 ,81833 
2026년,01월,AAR,OZ,아시아나항공,국제,대양주,호주,SYD,도착,정기,여객,31 ,11204 ,41 ,1634 ,53252 ,123 ,0 ,215312 
2026년,01월,AAR,OZ,아시아나항공,국제,대양주,호주,SYD,출발,정기,여객,31 ,12986 ,69 ,2134 ,120451 ,5841 ,5392 ,277345 
2026년,01월,AAR,OZ,아시아나항공,국제,대양주,하와이,HNL,도착,정기,여객,22 ,4138 ,12 ,1713 ,0 ,0 ,0 ,125303 
2026년,01월,AAR,OZ,아시아나항공,국제,대양주,하와이,HNL,출발,정기,여객,22 ,4410 ,25 ,1907 ,142559 ,2603 ,0 ,120449 
2026년,01월,AAR,OZ,아시아나항공,국제,유럽,독일,FRA,도착,정기,여객,17 ,3930 ,13 ,119 ,96955 ,73848 ,0 ,80528 
2026년,01월,AAR,OZ,아시아나항공,국제,유럽,독일,FRA,출발,정기,여객,17 ,4597 ,24 ,384 ,48022 ,6243 ,0 ,106353 
2026년,01월,AAR,OZ,아시아나항공,국제,유럽,스페인,BCN,도착,정기,여객,22 ,6086 ,4 ,267 ,148165 ,19092 ,0 ,116698 
2026년,01월,AAR,OZ,아시아나항공,국제,유럽,스페인,BCN,출발,정기,여객,23 ,6563 ,3 ,238 ,54610 ,51040 ,0 ,111076 
2026년,01월,AAR,OZ,아시아나항공,국제,유럽,영국,LHR,도착,정기,여객,31 ,5705 ,24 ,615 ,118091 ,41893 ,0 ,121010 
2026년,01월,AAR,OZ,아시아나항공,국제,유럽,영국,LHR,출발,정기,여객,31 ,7240 ,27 ,1726 ,85902 ,61984 ,0 ,182074 
2026년,01월,AAR,OZ,아시아나항공,국제,유럽,이탈리아,FCO,도착,정기,여객,18 ,4696 ,4 ,282 ,92817 ,1358 ,0 ,90991 
2026년,01월,AAR,OZ,아시아나항공,국제,유럽,이탈리아,FCO,출발,정기,여객,18 ,4651 ,7 ,539 ,21495 ,51732 ,0 ,85745 
2026년,01월,AAR,OZ,아시아나항공,국제,유럽,체코,PRG,도착,정기,여객,13 ,3208 ,1 ,156 ,34082 ,35436 ,0 ,61160 
2026년,01월,AAR,OZ,아시아나항공,국제,유럽,체코,PRG,출발,정기,여객,13 ,3597 ,4 ,235 ,77861 ,9355 ,0 ,66297 
2026년,01월,AAR,OZ,아시아나항공,국제,유럽,프랑스,CDG,도착,정기,여객,22 ,5004 ,8 ,286 ,99304 ,74316 ,0 ,102831 
2026년,01월,AAR,OZ,아시아나항공,국제,유럽,프랑스,CDG,출발,정기,여객,22 ,6058 ,9 ,438 ,73904 ,31808 ,2337 ,122845 
2026년,01월,AAR,OZ,아시아나항공,국제,유럽,튀르키예,IST,도착,정기,여객,13 ,3384 ,3 ,80 ,129206 ,14977 ,0 ,60393 
2026년,01월,AAR,OZ,아시아나항공,국제,유럽,튀르키예,IST,출발,정기,여객,14 ,3751 ,1 ,142 ,69194 ,46061 ,0 ,63442 
2026년,01월,ABL,BX,에어 부산,국제,일본,일본,FUK,도착,정기,여객,62 ,13786 ,47 ,0 ,0 ,0 ,0 ,147633 
2026년,01월,ABL,BX,에어 부산,국제,일본,일본,FUK,출발,정기,여객,62 ,13817 ,76 ,34 ,0 ,0 ,0 ,110137 
2026년,01월,ABL,BX,에어 부산,국제,일본,일본,KIX,도착,정기,여객,93 ,17471 ,31 ,0 ,0 ,0 ,0 ,185610 
2026년,01월,ABL,BX,에어 부산,국제,일본,일본,KIX,출발,정기,여객,93 ,18594 ,36 ,5 ,0 ,0 ,0 ,154645 
2026년,01월,ABL,BX,에어 부산,국제,일본,일본,NRT,도착,정기,여객,62 ,10571 ,3 ,0 ,0 ,0 ,0 ,108178 
2026년,01월,ABL,BX,에어 부산,국제,일본,일본,NRT,출발,정기,여객,62 ,11596 ,7 ,12 ,7608 ,0 ,0 ,114008 
2026년,01월,ABL,BX,에어 부산,국제,동남아,라오스,VTE,도착,정기,여객,18 ,2922 ,1 ,0 ,0 ,0 ,0 ,40616 
2026년,01월,ABL,BX,에어 부산,국제,동남아,라오스,VTE,출발,정기,여객,18 ,2417 ,2 ,6 ,0 ,0 ,0 ,29540 
2026년,01월,ABL,BX,에어 부산,국제,동남아,태국,BKK,도착,정기,여객,31 ,5943 ,5 ,20 ,4677 ,0 ,0 ,80002 
2026년,01월,ABL,BX,에어 부산,국제,동남아,태국,BKK,출발,정기,여객,31 ,6386 ,7 ,25 ,0 ,0 ,0 ,82997 
2026년,01월,ABL,BX,에어 부산,국제,동남아,필리핀,TAG,도착,부정기,여객,25 ,3239 ,13 ,0 ,0 ,0 ,0 ,32451 
2026년,01월,ABL,BX,에어 부산,국제,동남아,필리핀,TAG,출발,부정기,여객,25 ,3113 ,7 ,2 ,0 ,0 ,0 ,28376 
2026년,01월,ACA,AC,캐나다항공,국제,미주,캐나다,YVR,도착,정기,여객,31 ,5140 ,35 ,2964 ,208524 ,0 ,1588 ,189483 
2026년,01월,ACA,AC,캐나다항공,국제,미주,캐나다,YVR,출발,정기,여객,31 ,6556 ,30 ,2383 ,226957 ,0 ,6501 ,257460 
